sku_id,description,category,subcategory,launch_date,unit_cost,list_price
16156L,"WRAP, CAROUSEL",General Merchandise,"Wrap,",2010-01-10 12:25:00,0.21,0.42
16156N,"WRAP, FRIENDSHIP ON GREEN",General Merchandise,"Wrap,",2009-12-01 11:51:00,0.21,0.42
16156S,WRAP PINK FAIRY CAKES,Kitchenware,Wrap,2009-12-01 18:35:00,0.21,0.42
16161C,WRAP SPEED DEMONS,General Merchandise,Wrap,2009-12-01 12:56:00,0.05,0.1
16161E,WRAP BOUDOIR,General Merchandise,Wrap,2009-12-07 13:48:00,0.05,0.1
16161G,WRAP BAD HAIR DAY,General Merchandise,Wrap,2010-01-19 17:12:00,0.05,0.1
16161M,WRAP  PINK FLOCK,General Merchandise,Wrap,2009-12-03 12:10:00,0.21,0.42
16161P,WRAP ENGLISH ROSE,General Merchandise,Wrap,2009-12-01 09:28:00,0.21,0.42
16161U,WRAP SUKI AND FRIENDS,General Merchandise,Wrap,2009-12-01 14:40:00,0.21,0.42
16162L,THE KING GIFT BAG,Bags & Accessories,The,2009-12-09 12:45:00,0.32,0.65
16162M,THE KING GIFT BAG 25x24x12cm,Bags & Accessories,The,2010-06-14 12:39:00,0.21,0.42
16168M,FUNKY MONKEY GIFT BAG MEDIUM,Bags & Accessories,Funky,2009-12-09 14:31:00,0.21,0.42
16168S,FUNKY MONKEY GIFT BAG SMALL,Bags & Accessories,Funky,2009-12-10 11:55:00,0.14,0.29
16169A,WRAP CHRISTMAS DECOUPAGE,Seasonal & Christmas,Wrap,2010-04-29 18:18:00,0.19,0.42
16169C,WRAP BLUE REINDEER,Seasonal & Christmas,Wrap,2009-12-01 12:52:00,0.19,0.42
16169D,WRAP WINTER FOREST,General Merchandise,Wrap,2009-12-01 12:52:00,0.21,0.42
16169E,WRAP 50'S  CHRISTMAS,Seasonal & Christmas,Wrap,2011-07-21 13:06:00,0.19,0.42
16169F,WRAP BLIZZARD,General Merchandise,Wrap,2009-12-01 11:50:00,0.21,0.42
16169G,WRAP ROMANTIC DECOUPAGE,General Merchandise,Wrap,2009-12-10 14:28:00,0.21,0.42
16169K,WRAP FOLK ART,General Merchandise,Wrap,2009-12-04 10:00:00,0.21,0.42
16169M,WRAP DAISY CARPET,General Merchandise,Wrap,2009-12-03 10:37:00,0.21,0.42
16169N,WRAP BLUE RUSSIAN FOLKART,General Merchandise,Wrap,2009-12-01 09:28:00,0.21,0.42
16169P,WRAP GREEN RUSSIAN FOLKART,General Merchandise,Wrap,2009-12-04 10:00:00,0.21,0.42
16192,PINK BALLET OPENING CUBE BOX,Stationery & Cards,Pink,2009-12-18 17:06:00,2.37,4.3
16201A,PASTEL PINK PHOTO ALBUM,General Merchandise,Pastel,2009-12-02 16:18:00,0.98,1.95
16201B,PASTEL BLUE PHOTO ALBUM,General Merchandise,Pastel,2009-12-02 16:18:00,1.72,3.43
16202A,PASTEL PINK PHOTO ALBUM,General Merchandise,Pastel,2009-12-02 14:43:00,2.78,5.55
16202B,PASTEL BLUE PHOTO ALBUM,General Merchandise,Pastel,2009-12-02 14:55:00,2.78,5.55
16202C,BEIGE PHOTO ALBUM,General Merchandise,Beige,2009-12-02 16:49:00,0.98,1.95
16202E,BLACK PHOTO ALBUM,General Merchandise,Black,2009-12-02 16:18:00,0.98,1.95
16206B,RED PURSE WITH PINK HEART,Bags & Accessories,Red,2010-01-31 16:02:00,0.62,1.25
16207A,PINK STRAWBERRY HANDBAG,Bags & Accessories,Pink,2009-12-01 11:34:00,1.48,2.95
16207B,PINK HEART RED HANDBAG,Bags & Accessories,Pink,2009-12-11 13:49:00,1.25,2.51
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,General Merchandise,Funky,2009-12-02 10:02:00,0.32,0.65
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,General Merchandise,Funky,2009-12-03 11:46:00,0.32,0.65
16216,LETTER SHAPE PENCIL SHARPENER,Stationery & Cards,Letter,2009-12-04 15:16:00,0.09,0.16
16218,CARTOON  PENCIL SHARPENERS,Stationery & Cards,Cartoon,2009-12-08 15:49:00,0.09,0.16
16219,HOUSE SHAPE PENCIL SHARPENER,Stationery & Cards,House,2009-12-06 11:13:00,0.12,0.21
16225,RATTLE SNAKE EGGS,General Merchandise,Rattle,2009-12-01 11:45:00,0.62,1.25
16235,RECYCLED PENCIL WITH RABBIT ERASER,Stationery & Cards,Recycled,2009-12-01 11:58:00,0.12,0.21
16236,KITTY PENCIL ERASERS,Stationery & Cards,Kitty,2009-12-02 14:36:00,0.12,0.21
16237,SLEEPING CAT ERASERS,General Merchandise,Sleeping,2009-12-01 12:18:00,0.1,0.21
16238,PARTY TIME PENCIL ERASERS,Stationery & Cards,Party,2009-12-01 16:17:00,0.12,0.21
16239,BALLERINA HEART DECORATION.,Home & Decor,Ballerina,2009-12-02 14:43:00,1.48,2.95
16243B,BROWN COZY SQUARE PHOTO ALBUM,General Merchandise,Brown,2009-12-02 14:36:00,3.02,6.04
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,General Merchandise,Maxwell,2009-12-02 14:36:00,2.1,4.21
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,General Merchandise,Maxwell,2009-12-03 14:39:00,2.1,4.21
16245A,PINK MINI STATIONERY SET W CASE,General Merchandise,Pink,2010-03-10 12:10:00,0.62,1.25
16248B,BLUE HOLE PUNCH,General Merchandise,Blue,2010-09-20 12:54:00,0.62,1.25
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,Stationery & Cards,Transparent,2010-01-11 09:30:00,0.9,1.63
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,Stationery & Cards,Flower,2009-12-04 09:43:00,0.23,0.42
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,Stationery & Cards,Hearts,2009-12-13 15:17:00,0.23,0.42
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,Bags & Accessories,Swirly,2009-12-11 15:40:00,0.21,0.42
16258B,DAISY ERASERS IN BAG,Bags & Accessories,Daisy,2009-12-02 11:52:00,0.15,0.3
16259,PIECE OF CAMO STATIONERY SET,General Merchandise,Piece,2009-12-07 13:24:00,0.1,0.21
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,General Merchandise,Heavens,2009-12-04 14:24:00,0.14,0.29
17003,BROCADE RING PURSE,Bags & Accessories,Brocade,2009-12-01 16:17:00,0.14,0.29
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,Home & Decor,S/3,2009-12-14 12:24:00,1.05,2.1
17011A,ORIGAMI VANILLA INCENSE+FLOWER,General Merchandise,Origami,2009-12-22 09:41:00,1.58,3.16
17011B,ORIGAMI JASMINE INCENSE+FLOWER,General Merchandise,Origami,2010-05-30 11:02:00,0.6,1.2
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,General Merchandise,Origami,2009-12-14 18:03:00,1.24,2.48
17011D,ORIGAMI ROSE INCENSE+FLOWER,General Merchandise,Origami,2009-12-15 18:33:00,0.69,1.38
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,General Merchandise,Origami,2009-12-16 12:39:00,0.32,0.65
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,General Merchandise,Origami,2009-12-16 12:39:00,1.05,2.1
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,Home & Decor,Origami,2009-12-01 14:28:00,1.23,2.46
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,Home & Decor,Origami,2009-12-08 15:49:00,1.23,2.46
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,General Merchandise,Origami,2010-02-05 11:32:00,1.23,2.46
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,Home & Decor,Origami,2010-03-12 11:19:00,1.23,2.46
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,Home & Decor,Origami,2009-12-16 12:39:00,1.25,2.51
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,General Merchandise,Origami,2010-03-03 11:53:00,1.23,2.46
17013B,ORIGAMI JASMINE INCENSE IN TUBE,General Merchandise,Origami,2009-12-09 09:42:00,0.64,1.27
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,General Merchandise,Origami,2009-12-16 12:39:00,0.21,0.42
17013D,ORIGAMI ROSE INCENSE IN TUBE,General Merchandise,Origami,2009-12-09 09:42:00,0.82,1.65
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,General Merchandise,Origami,2009-12-21 17:20:00,0.82,1.65
17014A,ORIGAMI VANILLA INCENSE CONES,General Merchandise,Origami,2009-12-09 09:42:00,0.82,1.65
17014C,ORIGAMI LAVENDER INCENSE CONES,General Merchandise,Origami,2009-12-05 14:57:00,0.96,1.92
17014D,ORIGAMI ROSE INCENSE CONES,General Merchandise,Origami,2010-01-14 09:41:00,0.82,1.65
17014E,ORIGAMI OPIUM INCENSE CONES,General Merchandise,Origami,2010-05-10 11:05:00,0.82,1.65
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,General Merchandise,Origami,2010-01-21 13:33:00,0.82,1.65
17021,NAMASTE SWAGAT INCENSE,General Merchandise,Namaste,2010-01-22 14:40:00,0.15,0.3
17027A,INCENSE BAZAAR CANNABIS,General Merchandise,Incense,2010-02-04 13:47:00,0.18,0.36
17028J,INCENSE BAZAAR PEACH,General Merchandise,Incense,2011-01-31 15:27:00,0.21,0.42
17033,"BROCADE PURSE,SMALL ARCH BUTTON",Bags & Accessories,Brocade,2009-12-02 12:32:00,0.14,0.29
17038,PORCELAIN BUDAH INCENSE HOLDER,Home & Decor,Porcelain,2009-12-14 15:57:00,0.05,0.1
17039,INLAID WOOD INCENSE HOLDER,Home & Decor,Inlaid,2009-12-02 14:43:00,0.14,0.29
17061,ASSORTED SHAPED STENCIL FOR HENNA,General Merchandise,Assorted,2009-12-07 13:48:00,0.02,0.04
17084A,TRANQUILITY MASALA INCENSE,General Merchandise,Tranquility,2010-02-04 12:08:00,0.1,0.21
17084G,MOON INCENSE,General Merchandise,Moon,2009-12-02 16:02:00,0.1,0.21
17084J,LOVE POTION MASALA INCENSE,General Merchandise,Love,2009-12-01 13:31:00,0.1,0.21
17084N,FAIRY DREAMS INCENSE,General Merchandise,Fairy,2009-12-02 16:02:00,0.21,0.42
17084P,DRAGONS BLOOD INCENSE,General Merchandise,Dragons,2009-12-07 13:48:00,0.21,0.42
17084R,ASSORTED INCENSE PACK,General Merchandise,Assorted,2009-12-02 11:51:00,0.1,0.21
17090A,LAVENDER INCENSE 40 CONES IN TIN,Kitchenware,Lavender,2009-12-10 20:04:00,0.62,1.25
17090D,VANILLA INCENSE 40 CONES IN TIN,Kitchenware,Vanilla,2009-12-13 11:34:00,0.62,1.25
17091A,LAVENDER INCENSE IN TIN,Kitchenware,Lavender,2009-12-06 14:10:00,0.62,1.25
17091B,JASMINE TEA INCENSE IN TIN,Kitchenware,Jasmine,2009-12-06 14:10:00,0.62,1.25
17091F,SANDALWOOD INCENSE IN TIN,Kitchenware,Sandalwood,2009-12-06 14:10:00,0.62,1.25
17091J,VANILLA INCENSE IN TIN,Kitchenware,Vanilla,2009-12-01 12:13:00,0.19,0.38
17096,ASSORTED LAQUERED INCENSE HOLDERS,Home & Decor,Assorted,2009-12-02 14:36:00,0.21,0.42
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",General Merchandise,Flower,2009-12-04 09:49:00,1.27,2.55
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,General Merchandise,Flower,2009-12-01 12:56:00,0.21,0.42
17109A,FLOWER FAIRY INCENSE LILY,General Merchandise,Flower,2009-12-02 11:45:00,0.84,1.69
17109B,FLOWER FAIRY INCENSE LAVENDER,General Merchandise,Flower,2009-12-02 12:39:00,0.84,1.69
17109C,FLOWER FAIRY INCENSE ROSE,General Merchandise,Flower,2009-12-02 11:45:00,0.84,1.69
17109D,FLOWER FAIRY INCENSE BOUQUET,General Merchandise,Flower,2009-12-04 09:49:00,0.84,1.69
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,Bags & Accessories,Sky,2009-12-09 15:03:00,0.42,0.85
17129D,CLEAR COLOUR GLASS GEMS IN BAG,Bags & Accessories,Clear,2009-12-01 14:28:00,0.42,0.85
17129F,BLUE GLASS GEMS IN BAG,Bags & Accessories,Blue,2009-12-04 09:43:00,0.82,1.63
17136A,BLUE STONES ON WIRE FOR CANDLE,Home & Decor,Blue,2009-12-03 09:44:00,0.04,0.08
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,General Merchandise,Ass,2009-12-01 16:17:00,0.21,0.42
17164D,ASS COL SMALL SAND FROG P'WEIGHT,General Merchandise,Ass,2009-12-01 12:13:00,0.21,0.42
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,General Merchandise,Ass,2009-12-01 12:56:00,0.52,1.05
17165D,ASS COL LARGE SAND FROG P'WEIGHT,General Merchandise,Ass,2009-12-01 12:56:00,0.52,1.05
17174,ASSTD RASTA KEY-CHAINS,General Merchandise,Asstd,2010-02-01 09:52:00,0.21,0.42
17178,FLAT PALM T-LIGHT HOLDER,Home & Decor,Flat,2009-12-08 12:54:00,0.62,1.25
17181,CIRCLE OF FRIENDS CANDLE HOLDER,Home & Decor,Circle,2009-12-01 14:49:00,2.53,5.06
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,Home & Decor,Rose,2009-12-09 14:48:00,1.88,3.75
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,Kitchenware,Essential,2009-12-02 13:26:00,0.09,0.18
18010,ASSORTED FRAGRANCE BATH CONFETTI,General Merchandise,Assorted,2009-12-01 12:22:00,0.21,0.42
18094C,WHITE AND BLUE CERAMIC OIL BURNER,General Merchandise,White,2009-12-02 14:43:00,1.23,2.46
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,Home & Decor,White,2009-12-01 13:29:00,1.9,3.8
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,Home & Decor,Pink,2010-03-05 13:24:00,1.27,2.55
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,Home & Decor,Blue,2009-12-02 11:53:00,1.27,2.55
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,Home & Decor,White,2009-12-01 09:57:00,1.27,2.55
18098A,PINK PORCELAIN B'FLY OIL BURNER,General Merchandise,Pink,2009-12-14 15:31:00,1.48,2.95
18098B,BLUE PORCELAIN B'FLY OIL BURNER,General Merchandise,Blue,2009-12-13 15:54:00,1.48,2.95
18098C,PORCELAIN BUTTERFLY OIL BURNER,General Merchandise,Porcelain,2009-12-01 14:45:00,1.48,2.95
20615,BLUE POLKADOT PASSPORT COVER,General Merchandise,Blue,2009-12-01 14:43:00,1.05,2.1
20616,CHERRY BLOSSOM PASSPORT COVER,General Merchandise,Cherry,2009-12-01 14:28:00,0.83,1.66
20617,FIRST CLASS PASSPORT COVER,General Merchandise,First,2009-12-02 14:36:00,1.05,2.1
20618,QUEEN OF THE SKIES PASSPORT COVER,General Merchandise,Queen,2009-12-01 14:28:00,1.05,2.1
20619,TROPICAL PASSPORT COVER,General Merchandise,Tropical,2009-12-01 11:51:00,1.05,2.1
20620,RED SPOTTY PASSPORT COVER,General Merchandise,Red,2009-12-02 14:36:00,2.13,4.26
20621,ECONOMY PASSPORT COVER,General Merchandise,Economy,2009-12-02 12:06:00,1.05,2.1
20622,VIPPASSPORT COVER,General Merchandise,Vippassport,2009-12-01 11:51:00,1.05,2.1
20652,BLUE POLKADOT LUGGAGE TAG,General Merchandise,Blue,2009-12-01 14:28:00,0.62,1.25
20653,CHERRY BLOSSOM LUGGAGE TAG,General Merchandise,Cherry,2009-12-02 14:43:00,0.62,1.25
20654,FIRST CLASS LUGGAGE TAG,General Merchandise,First,2009-12-01 14:28:00,0.62,1.25
20655,QUEEN OF SKIES LUGGAGE TAG,General Merchandise,Queen,2009-12-01 12:13:00,0.62,1.25
20657,TROPICAL LUGGAGE TAG,General Merchandise,Tropical,2009-12-01 11:51:00,0.62,1.25
20658,RED SPOTTY LUGGAGE TAG,General Merchandise,Red,2009-12-01 15:26:00,0.62,1.25
20659,ECONOMY LUGGAGE TAG,General Merchandise,Economy,2009-12-01 14:28:00,0.62,1.25
20660,VIP LUGGAGE TAG,General Merchandise,Vip,2009-12-01 11:51:00,0.62,1.25
20661,BLUE SPOTTY PURSE,Bags & Accessories,Blue,2009-12-01 14:45:00,1.25,2.51
20662,FIRST CLASS HOLIDAY PURSE,Bags & Accessories,First,2009-12-06 13:29:00,1.25,2.51
20663,QUEEN OF THE SKIES HOLIDAY PURSE,Bags & Accessories,Queen,2009-12-10 15:45:00,1.25,2.51
20664,TROPICAL HOLIDAY PURSE,Bags & Accessories,Tropical,2009-12-15 13:40:00,1.48,2.95
20665,RED RETROSPOT PURSE,Bags & Accessories,Red,2009-12-01 12:47:00,1.48,2.95
20666,ECONOMY HOLIDAY PURSE,Bags & Accessories,Economy,2009-12-08 15:12:00,1.25,2.51
20667,CHERRY BLOSSOM PURSE,Bags & Accessories,Cherry,2009-12-17 15:41:00,1.23,2.46
20668,DISCO BALL CHRISTMAS DECORATION,Seasonal & Christmas,Disco,2009-12-02 11:18:00,0.05,0.12
20669,RED HEART LUGGAGE TAG,General Merchandise,Red,2009-12-02 12:39:00,0.62,1.25
20670,VIP HOLIDAY PURSE,Bags & Accessories,Vip,2009-12-08 16:43:00,1.25,2.51
20671,BLUE TEATIME PRINT BOWL,Kitchenware,Blue,2009-12-02 14:36:00,0.62,1.25
20672,PINK TEATIME PRINT BOWL,Kitchenware,Pink,2009-12-02 14:36:00,0.62,1.25
20673,STRAWBERRIES PRINT BOWL,Kitchenware,Strawberries,2009-12-01 11:51:00,0.62,1.25
20674,GREEN POLKADOT BOWL,Kitchenware,Green,2009-12-01 14:28:00,0.62,1.25
20675,BLUE POLKADOT BOWL,Kitchenware,Blue,2009-12-01 11:34:00,0.62,1.25
20676,RED RETROSPOT BOWL,Kitchenware,Red,2009-12-01 11:45:00,0.62,1.25
20677,PINK POLKADOT BOWL,Kitchenware,Pink,2009-12-01 11:45:00,0.62,1.25
20678,LARGE BLACK DIAMANTE HAIRSLIDE,General Merchandise,Large,2011-09-23 14:49:00,0.82,1.65
20679,EDWARDIAN PARASOL RED,General Merchandise,Edwardian,2009-12-01 17:31:00,2.98,5.95
20680,PINK FLOWERS CHILDS UMBRELLA,Bags & Accessories,Pink,2009-12-10 13:59:00,1.62,3.25
20681,PINK SPOTTY CHILDS UMBRELLA,Bags & Accessories,Pink,2009-12-01 13:07:00,1.62,3.25
20682,RED RETROSPOT CHILDRENS UMBRELLA,Bags & Accessories,Red,2009-12-01 11:50:00,1.62,3.25
20683,RAIN GIRL CHILDS UMBRELLA,Bags & Accessories,Rain,2009-12-11 10:10:00,1.62,3.25
20684,STRAWBERRY DREAM CHILDS UMBRELLA,Bags & Accessories,Strawberry,2009-12-01 14:40:00,1.62,3.25
20685,DOORMAT RED RETROSPOT,General Merchandise,Doormat,2009-12-01 11:45:00,3.74,7.49
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,Bags & Accessories,Dolly,2009-12-02 12:06:00,1.62,3.25
20688,BEAUTY SPEED EXPRESSO CUPS,Kitchenware,Beauty,2009-12-04 12:59:00,2.98,5.95
20689,RETRO SISTERS EXPRESSO CUPS,Kitchenware,Retro,2009-12-07 15:42:00,2.98,5.95
20692,FLORAL ELEPHANT SOFT TOY,Toys & Games,Floral,2009-12-01 12:18:00,2.12,4.25
20693,FLORAL DINOSAUR GREEN,General Merchandise,Floral,2009-12-02 15:04:00,2.12,4.25
20694,FLORAL PINK MONSTER,General Merchandise,Floral,2009-12-01 14:28:00,1.88,3.75
20695,FLORAL BLUE MONSTER,General Merchandise,Floral,2009-12-01 09:08:00,2.12,4.25
20696,FLORAL SOFT CAR TOY,Toys & Games,Floral,2009-12-02 16:24:00,1.88,3.75
20697,LITTLE GREEN MONSTER SOFT TOY,Toys & Games,Little,2009-12-13 11:34:00,1.27,2.55
20698,LITTLE PINK MONSTER SOFT TOY,Toys & Games,Little,2010-01-17 13:29:00,1.27,2.55
20699,MOUSEY LONG LEGS SOFT TOY,Toys & Games,Mousey,2009-12-04 09:43:00,1.27,2.55
20700,GREEN CAT FLORAL CUSHION COVER,Home & Decor,Green,2009-12-07 13:35:00,2.06,4.13
20701,PINK CAT FLORAL CUSHION COVER,Home & Decor,Pink,2009-12-02 14:36:00,2.06,4.13
20702,PINK PADDED MOBILE,General Merchandise,Pink,2009-12-03 12:27:00,2.12,4.25
20703,BLUE PADDED SOFT MOBILE,General Merchandise,Blue,2009-12-01 09:08:00,2.12,4.25
20704,MR ROBOT SOFT TOY,Toys & Games,Mr,2009-12-06 11:27:00,3.48,6.95
20705,MRS ROBOT SOFT TOY,Toys & Games,Mrs,2009-12-07 13:35:00,3.48,6.95
20707,CRAZY DAISY HEART DECORATION,Home & Decor,Crazy,2009-12-04 09:43:00,0.42,0.83
20711,JUMBO BAG TOYS,Bags & Accessories,Jumbo,2009-12-01 09:24:00,1.04,2.08
20712,JUMBO BAG WOODLAND ANIMALS,Bags & Accessories,Jumbo,2009-12-01 12:13:00,1.04,2.08
20713,JUMBO BAG OWLS,Bags & Accessories,Jumbo,2009-12-01 12:13:00,0.98,1.95
20714,POSY SHOPPER BAG,Bags & Accessories,Posy,2009-12-01 14:28:00,0.44,0.87
20715,LITTLE FLOWER SHOPPER BAG,Bags & Accessories,Little,2010-01-07 12:34:00,0.53,1.06
20716,PARTY FOOD SHOPPER BAG,Bags & Accessories,Party,2009-12-01 17:19:00,0.62,1.25
20717,STRAWBERRY SHOPPER BAG,Bags & Accessories,Strawberry,2009-12-04 10:57:00,0.62,1.25
20718,RED RETROSPOT SHOPPER BAG,Bags & Accessories,Red,2009-12-01 11:50:00,0.62,1.25
