date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2010-05-31,10120,217,145,13,211
2010-06-07,10120,217,145,13,211
2010-06-14,10120,187,145,13,211
2010-06-21,10120,187,145,13,211
2010-06-28,10120,187,145,13,211
2010-07-05,10120,187,145,13,211
2010-07-12,10120,184,145,13,211
2010-07-19,10120,184,145,13,211
2010-07-26,10120,184,145,13,211
2010-08-02,10120,184,145,13,211
2010-08-09,10120,184,145,13,211
2010-08-16,10120,184,145,13,211
2010-08-23,10120,184,145,13,211
2010-08-30,10120,184,145,13,211
2010-09-06,10120,184,145,13,211
2010-09-13,10120,181,145,13,211
2010-09-20,10120,175,145,13,211
2010-09-27,10120,175,145,13,211
2010-10-04,10120,175,145,13,211
2010-10-11,10120,145,145,13,211
2010-10-18,10120,115,145,13,211
2010-10-25,10120,115,145,13,211
2010-11-01,10120,104,145,13,211
2010-11-08,10120,86,145,13,211
2010-11-15,10120,86,145,13,211
2010-11-22,10120,79,145,13,211
2010-11-29,10120,39,315,13,211
2010-12-06,10120,26,315,13,211
2010-12-13,10120,183,315,13,211
2010-12-20,10120,183,315,13,211
2010-12-27,10120,183,315,13,211
2011-01-03,10120,183,315,13,211
2011-01-10,10120,183,315,13,211
2011-01-17,10120,183,315,13,211
2011-01-24,10120,183,315,13,211
2011-01-31,10120,183,315,13,211
2011-02-07,10120,183,315,13,211
2011-02-14,10120,183,315,13,211
2011-02-21,10120,153,315,13,211
2011-02-28,10120,153,315,13,211
2011-03-07,10120,126,315,13,211
2011-03-14,10120,126,315,13,211
2011-03-21,10120,126,315,13,211
2011-03-28,10120,126,315,13,211
2011-04-04,10120,125,315,13,211
2011-04-11,10120,125,315,13,211
2011-04-18,10120,125,315,13,211
2011-04-25,10120,125,315,13,211
2011-05-02,10120,125,315,13,211
2011-05-09,10120,125,315,13,211
2011-05-16,10120,124,315,13,211
2011-05-23,10120,122,315,13,211
2011-05-30,10120,122,315,13,211
2011-06-06,10120,122,315,13,211
2011-06-13,10120,122,315,13,211
2011-06-20,10120,122,315,13,211
2011-06-27,10120,122,315,13,211
2011-07-04,10120,122,315,13,211
2011-07-11,10120,117,315,13,211
2011-07-18,10120,117,315,13,211
2011-07-25,10120,117,315,13,211
2011-08-01,10120,117,315,13,211
2011-08-08,10120,112,315,13,211
2011-08-15,10120,112,315,13,211
2011-08-22,10120,82,315,13,211
2011-08-29,10120,82,315,13,211
2011-09-05,10120,79,315,13,211
2011-09-12,10120,79,315,13,211
2011-09-19,10120,79,315,13,211
2011-09-26,10120,78,315,13,211
2011-10-03,10120,67,315,13,211
2011-10-10,10120,67,315,13,211
2011-10-17,10120,67,315,13,211
2011-10-24,10120,62,315,13,211
2011-10-31,10120,62,315,13,211
2011-11-07,10120,24,315,13,211
2011-11-14,10120,24,315,13,211
2011-11-21,10120,18,315,13,211
2011-11-28,10120,17,315,13,211
2009-12-07,10123C,591,0,19,434
2009-12-14,10123C,563,0,19,434
2009-12-21,10123C,454,0,19,434
2009-12-28,10123C,454,0,19,434
2010-01-04,10123C,454,0,19,434
2010-01-11,10123C,454,0,19,434
2010-01-18,10123C,451,0,19,434
2010-01-25,10123C,438,0,19,434
2010-02-01,10123C,424,172,19,434
2010-02-08,10123C,424,172,19,434
2010-02-15,10123C,423,172,19,434
2010-02-22,10123C,583,172,19,434
2010-03-01,10123C,583,172,19,434
2010-03-08,10123C,582,172,19,434
2010-03-15,10123C,580,172,19,434
2010-03-22,10123C,570,172,19,434
2010-03-29,10123C,565,172,19,434
2010-04-05,10123C,565,172,19,434
2010-04-12,10123C,564,172,19,434
2010-04-19,10123C,564,172,19,434
2010-04-26,10123C,561,172,19,434
2010-05-03,10123C,549,172,19,434
2010-05-10,10123C,536,172,19,434
2010-05-17,10123C,536,172,19,434
2010-05-24,10123C,511,172,19,434
2010-05-31,10123C,498,172,19,434
2010-06-07,10123C,497,172,19,434
2010-06-14,10123C,497,172,19,434
2010-06-21,10123C,497,172,19,434
2010-06-28,10123C,496,172,19,434
2010-07-05,10123C,496,172,19,434
2010-07-12,10123C,495,172,19,434
2010-07-19,10123C,493,172,19,434
2010-07-26,10123C,493,172,19,434
2010-08-02,10123C,493,172,19,434
2010-08-09,10123C,349,172,19,434
2010-08-16,10123C,346,172,19,434
2010-08-23,10123C,346,172,19,434
2010-08-30,10123C,329,172,19,434
2010-09-06,10123C,317,172,19,434
2010-09-13,10123C,317,172,19,434
2010-09-20,10123C,293,172,19,434
2010-09-27,10123C,149,447,19,434
2010-10-04,10123C,148,447,19,434
2010-10-11,10123C,147,447,19,434
2010-10-18,10123C,422,447,19,434
2010-10-25,10123C,420,447,19,434
2010-11-01,10123C,418,447,19,434
2010-11-08,10123C,404,447,19,434
2010-11-15,10123C,404,447,19,434
2010-11-22,10123C,398,447,19,434
2010-11-29,10123C,398,447,19,434
2010-12-06,10123C,397,447,19,434
2010-12-13,10123C,397,447,19,434
2010-12-20,10123C,397,447,19,434
2010-12-27,10123C,397,447,19,434
2011-01-03,10123C,397,447,19,434
2011-01-10,10123C,397,447,19,434
2011-01-17,10123C,397,447,19,434
2011-01-24,10123C,397,447,19,434
2011-01-31,10123C,397,447,19,434
2011-02-07,10123C,397,447,19,434
2011-02-14,10123C,397,447,19,434
2011-02-21,10123C,397,447,19,434
2011-02-28,10123C,397,447,19,434
2011-03-07,10123C,394,447,19,434
2011-03-14,10123C,394,447,19,434
2011-03-21,10123C,394,447,19,434
2011-03-28,10123C,394,447,19,434
2009-12-07,10123G,5107,0,8,3008
2009-12-14,10123G,5107,0,8,3008
2009-12-21,10123G,5107,0,8,3008
2009-12-28,10123G,5107,0,8,3008
2010-01-04,10123G,5107,0,8,3008
2010-01-11,10123G,5107,0,8,3008
2010-01-18,10123G,5107,0,8,3008
2010-01-25,10123G,5107,0,8,3008
2010-02-01,10123G,5107,0,8,3008
2010-02-08,10123G,5107,0,8,3008
2010-02-15,10123G,5107,0,8,3008
2010-02-22,10123G,5107,0,8,3008
2010-03-01,10123G,5107,0,8,3008
2010-03-08,10123G,5107,0,8,3008
2010-03-15,10123G,5107,0,8,3008
2010-03-22,10123G,5107,0,8,3008
2010-03-29,10123G,5107,0,8,3008
2010-04-05,10123G,5107,0,8,3008
2010-04-12,10123G,5107,0,8,3008
2010-04-19,10123G,5107,0,8,3008
2010-04-26,10123G,5107,0,8,3008
2010-05-03,10123G,5107,0,8,3008
2010-05-10,10123G,5107,0,8,3008
2010-05-17,10123G,5107,0,8,3008
2010-05-24,10123G,5107,0,8,3008
2010-05-31,10123G,5107,0,8,3008
2010-06-07,10123G,5107,0,8,3008
2010-06-14,10123G,5107,0,8,3008
2010-06-21,10123G,5107,0,8,3008
2010-06-28,10123G,5107,0,8,3008
2010-07-05,10123G,5107,0,8,3008
2010-07-12,10123G,5107,0,8,3008
2010-07-19,10123G,5101,0,8,3008
2010-07-26,10123G,5101,0,8,3008
2010-08-02,10123G,5089,0,8,3008
2010-08-09,10123G,3985,0,8,3008
2010-08-16,10123G,3985,0,8,3008
2010-08-23,10123G,3985,0,8,3008
2010-08-30,10123G,3985,0,8,3008
2010-09-06,10123G,3985,0,8,3008
2010-09-13,10123G,3985,0,8,3008
2010-09-20,10123G,3985,0,8,3008
2010-09-27,10123G,2881,2228,8,3008
2010-10-04,10123G,2880,2228,8,3008
2010-10-11,10123G,5108,2228,8,3008
2010-10-18,10123G,5108,2228,8,3008
2010-10-25,10123G,5108,2228,8,3008
2010-11-01,10123G,5107,2228,8,3008
2010-11-08,10123G,5098,2228,8,3008
2010-11-15,10123G,5097,2228,8,3008
2010-11-22,10123G,5096,2228,8,3008
2010-11-29,10123G,5086,2228,8,3008
2010-03-22,10124A,110,0,17,68
2010-03-29,10124A,110,0,17,68
2010-04-05,10124A,110,0,17,68
2010-04-12,10124A,109,0,17,68
2010-04-19,10124A,109,0,17,68
2010-04-26,10124A,109,0,17,68
2010-05-03,10124A,109,0,17,68
2010-05-10,10124A,109,0,17,68
2010-05-17,10124A,109,0,17,68
2010-05-24,10124A,109,0,17,68
2010-05-31,10124A,109,0,17,68
2010-06-07,10124A,106,0,17,68
2010-06-14,10124A,106,0,17,68
2010-06-21,10124A,106,0,17,68
2010-06-28,10124A,106,0,17,68
2010-07-05,10124A,104,0,17,68
2010-07-12,10124A,104,0,17,68
2010-07-19,10124A,104,0,17,68
2010-07-26,10124A,104,0,17,68
2010-08-02,10124A,104,0,17,68
2010-08-09,10124A,104,0,17,68
2010-08-16,10124A,99,0,17,68
2010-08-23,10124A,99,0,17,68
2010-08-30,10124A,99,0,17,68
2010-09-06,10124A,99,0,17,68
2010-09-13,10124A,90,0,17,68
2010-09-20,10124A,81,0,17,68
2010-09-27,10124A,78,0,17,68
2010-10-04,10124A,77,0,17,68
2010-10-11,10124A,77,0,17,68
2010-10-18,10124A,77,0,17,68
2010-10-25,10124A,74,0,17,68
2010-11-01,10124A,74,0,17,68
2010-11-08,10124A,74,0,17,68
2010-11-15,10124A,72,0,17,68
2010-11-22,10124A,71,0,17,68
2010-11-29,10124A,71,0,17,68
2010-12-06,10124A,67,46,17,68
2010-12-13,10124A,67,46,17,68
2010-12-20,10124A,67,46,17,68
2010-12-27,10124A,113,46,17,68
2011-01-03,10124A,113,46,17,68
2011-01-10,10124A,113,46,17,68
2011-01-17,10124A,113,46,17,68
2011-01-24,10124A,113,46,17,68
2011-01-31,10124A,113,46,17,68
2011-02-07,10124A,113,46,17,68
2011-02-14,10124A,110,46,17,68
2011-02-21,10124A,110,46,17,68
2011-02-28,10124A,110,46,17,68
2011-03-07,10124A,110,46,17,68
2011-03-14,10124A,110,46,17,68
2011-03-21,10124A,106,46,17,68
2011-03-28,10124A,105,46,17,68
2011-04-04,10124A,105,46,17,68
2011-04-11,10124A,105,46,17,68
2011-04-18,10124A,105,46,17,68
2011-04-25,10124A,105,46,17,68
2011-05-02,10124A,105,46,17,68
2011-05-09,10124A,105,46,17,68
2011-05-16,10124A,105,46,17,68
2011-05-23,10124A,105,46,17,68
2011-05-30,10124A,105,46,17,68
2011-06-06,10124A,105,46,17,68
2011-06-13,10124A,105,46,17,68
2011-06-20,10124A,105,46,17,68
2011-06-27,10124A,105,46,17,68
2011-07-04,10124A,105,46,17,68
2011-07-11,10124A,105,46,17,68
2011-07-18,10124A,105,46,17,68
2011-07-25,10124A,105,46,17,68
2011-08-01,10124A,105,46,17,68
2011-08-08,10124A,105,46,17,68
2011-08-15,10124A,105,46,17,68
2011-08-22,10124A,105,46,17,68
2011-08-29,10124A,105,46,17,68
2011-09-05,10124A,105,46,17,68
2011-09-12,10124A,105,46,17,68
2011-09-19,10124A,105,46,17,68
2011-09-26,10124A,105,46,17,68
2011-10-03,10124A,105,46,17,68
2011-10-10,10124A,105,46,17,68
2011-10-17,10124A,105,46,17,68
2011-10-24,10124A,105,46,17,68
2011-10-31,10124A,105,46,17,68
2010-05-17,10124G,86,0,10,41
2010-05-24,10124G,85,0,10,41
2010-05-31,10124G,85,0,10,41
2010-06-07,10124G,82,0,10,41
2010-06-14,10124G,82,0,10,41
2010-06-21,10124G,82,0,10,41
2010-06-28,10124G,82,0,10,41
2010-07-05,10124G,82,0,10,41
2010-07-12,10124G,82,0,10,41
2010-07-19,10124G,82,0,10,41
2010-07-26,10124G,82,0,10,41
2010-08-02,10124G,82,0,10,41
2010-08-09,10124G,82,0,10,41
2010-08-16,10124G,77,0,10,41
2010-08-23,10124G,77,0,10,41
2010-08-30,10124G,77,0,10,41
2010-09-06,10124G,77,0,10,41
2010-09-13,10124G,73,0,10,41
2010-09-20,10124G,73,0,10,41
2010-09-27,10124G,73,0,10,41
2010-10-04,10124G,71,0,10,41
2010-10-11,10124G,71,0,10,41
2010-10-18,10124G,71,0,10,41
2010-10-25,10124G,71,0,10,41
2010-11-01,10124G,71,0,10,41
2010-11-08,10124G,71,0,10,41
2010-11-15,10124G,71,0,10,41
2010-11-22,10124G,71,0,10,41
2010-11-29,10124G,71,0,10,41
2010-12-06,10124G,66,0,10,41
2010-12-13,10124G,66,0,10,41
2010-12-20,10124G,66,0,10,41
2010-12-27,10124G,66,0,10,41
2011-01-03,10124G,66,0,10,41
2011-01-10,10124G,66,0,10,41
2011-01-17,10124G,66,0,10,41
2011-01-24,10124G,66,0,10,41
2011-01-31,10124G,66,0,10,41
2011-02-07,10124G,66,0,10,41
2011-02-14,10124G,66,0,10,41
2011-02-21,10124G,66,0,10,41
2011-02-28,10124G,66,0,10,41
2011-03-07,10124G,66,0,10,41
2011-03-14,10124G,66,0,10,41
2011-03-21,10124G,62,0,10,41
2011-03-28,10124G,62,0,10,41
2011-04-04,10124G,62,0,10,41
2011-04-11,10124G,62,0,10,41
2011-04-18,10124G,62,0,10,41
2011-04-25,10124G,62,0,10,41
2011-05-02,10124G,62,0,10,41
2011-05-09,10124G,62,0,10,41
2011-05-16,10124G,62,0,10,41
2011-05-23,10124G,62,0,10,41
2011-05-30,10124G,62,0,10,41
2011-06-06,10124G,62,0,10,41
2011-06-13,10124G,62,0,10,41
2011-06-20,10124G,62,0,10,41
2011-06-27,10124G,62,0,10,41
2011-07-04,10124G,62,0,10,41
2011-07-11,10124G,62,0,10,41
2011-07-18,10124G,62,0,10,41
2011-07-25,10124G,62,0,10,41
2011-08-01,10124G,62,0,10,41
2011-08-08,10124G,62,0,10,41
2011-08-15,10124G,62,0,10,41
2011-08-22,10124G,62,0,10,41
2011-08-29,10124G,62,0,10,41
2011-09-05,10124G,62,0,10,41
2011-09-12,10124G,62,0,10,41
2011-09-19,10124G,62,0,10,41
2011-09-26,10124G,62,0,10,41
2011-10-03,10124G,58,0,10,41
2011-10-10,10124G,58,0,10,41
2011-10-17,10124G,58,0,10,41
2011-10-24,10124G,58,0,10,41
2011-10-31,10124G,58,0,10,41
2009-12-07,10125,398,0,8,240
2009-12-14,10125,374,0,8,240
2009-12-21,10125,350,0,8,240
2009-12-28,10125,350,0,8,240
2010-01-04,10125,350,0,8,240
2010-01-11,10125,350,0,8,240
2010-01-18,10125,348,0,8,240
2010-01-25,10125,347,0,8,240
2010-02-01,10125,347,0,8,240
2010-02-08,10125,345,0,8,240
2010-02-15,10125,343,0,8,240
2010-02-22,10125,302,0,8,240
2010-03-01,10125,302,0,8,240
2010-03-08,10125,262,0,8,240
2010-03-15,10125,240,237,8,240
2010-03-22,10125,240,237,8,240
2010-03-29,10125,451,237,8,240
2010-04-05,10125,429,237,8,240
2010-04-12,10125,409,237,8,240
2010-04-19,10125,409,237,8,240
2010-04-26,10125,409,237,8,240
2010-05-03,10125,409,237,8,240
2010-05-10,10125,409,237,8,240
2010-05-17,10125,389,237,8,240
2010-05-24,10125,389,237,8,240
2010-05-31,10125,389,237,8,240
2010-06-07,10125,388,237,8,240
2010-06-14,10125,347,237,8,240
2010-06-21,10125,345,237,8,240
2010-06-28,10125,325,237,8,240
2010-07-05,10125,305,237,8,240
2010-07-12,10125,303,237,8,240
2010-07-19,10125,280,237,8,240
2010-07-26,10125,240,237,8,240
2010-08-02,10125,220,237,8,240
2010-08-09,10125,220,237,8,240
2010-08-16,10125,220,237,8,240
2010-08-23,10125,220,237,8,240
2010-08-30,10125,220,237,8,240
2010-09-06,10125,200,237,8,240
2010-09-13,10125,176,237,8,240
2010-09-20,10125,175,237,8,240
2010-09-27,10125,155,237,8,240
2010-10-04,10125,155,237,8,240
2010-10-11,10125,130,237,8,240
2010-10-18,10125,108,237,8,240
2010-10-25,10125,66,237,8,240
2010-11-01,10125,35,237,8,240
2010-11-08,10125,0,477,8,240
2010-11-15,10125,236,477,8,240
2010-11-22,10125,175,477,8,240
2010-11-29,10125,173,477,8,240
2010-12-06,10125,168,477,8,240
2010-12-13,10125,107,477,8,240
2010-12-20,10125,26,477,8,240
2010-12-27,10125,19,477,8,240
2011-01-03,10125,19,477,8,240
2011-01-10,10125,0,477,8,240
2011-01-17,10125,0,477,8,240
2011-01-24,10125,0,477,8,240
2011-01-31,10125,0,477,8,240
2011-02-07,10125,0,477,8,240
2011-02-14,10125,0,477,8,240
2011-02-21,10125,0,477,8,240
2011-02-28,10125,0,477,8,240
2011-03-07,10125,0,477,8,240
2011-03-14,10125,0,477,8,240
2011-03-21,10125,0,477,8,240
2011-03-28,10125,0,477,8,240
2011-04-04,10125,0,477,8,240
2011-04-11,10125,0,477,8,240
2011-04-18,10125,0,477,8,240
2011-04-25,10125,0,477,8,240
2011-05-02,10125,0,477,8,240
2011-05-09,10125,0,477,8,240
2011-05-16,10125,0,477,8,240
2011-05-23,10125,0,477,8,240
2011-05-30,10125,0,477,8,240
2011-06-06,10125,0,477,8,240
2011-06-13,10125,0,477,8,240
2011-06-20,10125,0,477,8,240
2011-06-27,10125,0,477,8,240
2011-07-04,10125,0,477,8,240
2011-07-11,10125,0,477,8,240
2011-07-18,10125,0,477,8,240
2011-07-25,10125,0,477,8,240
2011-08-01,10125,0,477,8,240
2011-08-08,10125,0,477,8,240
2011-08-15,10125,0,477,8,240
2011-08-22,10125,0,477,8,240
2011-08-29,10125,0,477,8,240
2011-09-05,10125,0,477,8,240
2011-09-12,10125,0,477,8,240
2011-09-19,10125,0,477,8,240
2011-09-26,10125,0,477,8,240
2011-10-03,10125,0,477,8,240
2011-10-10,10125,0,477,8,240
2011-10-17,10125,0,477,8,240
2011-10-24,10125,0,477,8,240
2011-10-31,10125,0,477,8,240
2011-11-07,10125,0,477,8,240
2011-11-14,10125,0,477,8,240
2011-11-21,10125,0,477,8,240
2011-11-28,10125,0,477,8,240
2011-12-05,10125,0,477,8,240
2009-12-07,10133,628,0,14,443
2009-12-14,10133,596,0,14,443
2009-12-21,10133,575,0,14,443
2009-12-28,10133,575,0,14,443
2010-01-04,10133,575,0,14,443
2010-01-11,10133,425,304,14,443
2010-01-18,10133,424,304,14,443
2010-01-25,10133,727,304,14,443
2010-02-01,10133,717,304,14,443
2010-02-08,10133,717,304,14,443
2010-02-15,10133,717,304,14,443
2010-02-22,10133,665,304,14,443
2010-03-01,10133,615,304,14,443
2010-03-08,10133,594,304,14,443
2010-03-15,10133,593,304,14,443
2010-03-22,10133,578,304,14,443
2010-03-29,10133,577,304,14,443
2010-04-05,10133,574,304,14,443
2010-04-12,10133,554,304,14,443
2010-04-19,10133,553,304,14,443
2010-04-26,10133,543,304,14,443
2010-05-03,10133,529,304,14,443
2010-05-10,10133,493,304,14,443
2010-05-17,10133,463,304,14,443
2010-05-24,10133,453,304,14,443
2010-05-31,10133,443,304,14,443
2010-06-07,10133,443,304,14,443
2010-06-14,10133,433,304,14,443
2010-06-21,10133,433,304,14,443
2010-06-28,10133,413,304,14,443
2010-07-05,10133,413,304,14,443
2010-07-12,10133,393,304,14,443
2010-07-19,10133,351,304,14,443
2010-07-26,10133,341,304,14,443
2010-08-02,10133,337,304,14,443
2010-08-09,10133,327,304,14,443
2010-08-16,10133,307,304,14,443
2010-08-23,10133,280,304,14,443
2010-08-30,10133,280,304,14,443
2010-09-06,10133,276,304,14,443
2010-09-13,10133,261,304,14,443
2010-09-20,10133,259,304,14,443
2010-09-27,10133,259,304,14,443
2010-10-04,10133,227,304,14,443
2010-10-11,10133,174,304,14,443
2010-10-18,10133,156,304,14,443
2010-10-25,10133,156,304,14,443
2010-11-01,10133,124,594,14,443
2010-11-08,10133,98,594,14,443
2010-11-15,10133,388,594,14,443
2010-11-22,10133,352,594,14,443
2010-11-29,10133,342,594,14,443
2010-12-06,10133,320,594,14,443
2010-12-13,10133,308,594,14,443
2010-12-20,10133,228,594,14,443
2010-12-27,10133,212,594,14,443
2011-01-03,10133,212,594,14,443
2011-01-10,10133,174,594,14,443
2011-01-17,10133,120,594,14,443
2011-01-24,10133,42,594,14,443
2011-01-31,10133,32,594,14,443
2011-02-07,10133,32,594,14,443
2011-02-14,10133,22,594,14,443
2011-02-21,10133,8,594,14,443
2011-02-28,10133,0,594,14,443
2011-03-07,10133,0,594,14,443
2011-03-14,10133,0,594,14,443
2011-03-21,10133,0,594,14,443
2011-03-28,10133,0,594,14,443
2011-04-04,10133,0,594,14,443
2011-04-11,10133,0,594,14,443
2011-04-18,10133,0,594,14,443
2011-04-25,10133,0,594,14,443
